id,number,pr_author,date,author,body
963318046,15146,fajb,2021-11-08 16:16:59,SkySkimmer,"https://gitlab.inria.fr/fbesson/itauto/-/blob/master/Makefile looks a bit complex, I guess to handle the extraction step"
963374598,15146,fajb,2021-11-08 17:09:18,fajb,"@SkySkimmer  You are right. I could not think of a better way than 2 coq_makefile invocations.\nAlso, I am patching the extracted code. As this is just for debugging purposes, this stage could be skipped and simplify a bit the Makefile. I'll look into it.\nPS: It see that the compilation fails because of Stdlib. Does the plugin need to compile with OCaml <  4.07? Can a ocaml version be specified?"
963461394,15146,fajb,2021-11-08 18:41:26,SkySkimmer,you can use ci-template-flambda to get a newer ocaml
963479027,15146,fajb,2021-11-08 19:01:57,coqbot-app,"Hey, I have detected that there were CI failures at commit 0c8ed48 without any failure in the test-suite.\nI checked that the corresponding jobs for the base commit 30683ee succeeded. You can ask me to try to extract a minimal test case from this so that it can be added to the test-suite.\nIf you tag me saying @coqbot ci minimize all, I will additionally minimize the following target (which I do not suggest minimizing): ci-flocq (because base job at 30683ee failed)"
963972100,15146,fajb,2021-11-09 09:33:27,coqbot-app,"Hey, I have detected that there were CI failures at commit 0c8ed48 without any failure in the test-suite.\nI checked that the corresponding jobs for the base commit 30683ee succeeded. You can ask me to try to extract a minimal test case from this so that it can be added to the test-suite.\nIf you tag me saying @coqbot ci minimize all, I will additionally minimize the following target (which I do not suggest minimizing): ci-flocq (because base job at 30683ee failed)"
963983256,15146,fajb,2021-11-09 09:48:10,coqbot-app,"Hey, I have detected that there were CI failures at commit 0c8ed48 without any failure in the test-suite.\nI checked that the corresponding jobs for the base commit 30683ee succeeded. You can ask me to try to extract a minimal test case from this so that it can be added to the test-suite.\nIf you tag me saying @coqbot ci minimize all, I will additionally minimize the following target (which I do not suggest minimizing): ci-flocq (because base job at 30683ee failed)"
964008588,15146,fajb,2021-11-09 10:19:21,Zimmi48,FWIW @palmskog has some experience with projects using extraction and his solution lately has been to rely on Dune.
964012143,15146,fajb,2021-11-09 10:23:19,coqbot-app,"Hey, I have detected that there were CI failures at commit 0c8ed48 without any failure in the test-suite.\nI checked that the corresponding jobs for the base commit 30683ee succeeded. You can ask me to try to extract a minimal test case from this so that it can be added to the test-suite.\nIf you tag me saying @coqbot ci minimize all, I will additionally minimize the following target (which I do not suggest minimizing): ci-flocq (because base job at 30683ee failed)"
964013536,15146,fajb,2021-11-09 10:25:08,palmskog,"Right, I have used Dune successfully to build the Stalmarck library+plugin, where the plugin uses code extracted from the library. The relevant Dune file is here.\n@fajb would you consider adding a Dune build to your project? If so, I can take an initial look at it later today. I think the Makefile build could still be left in place."
964144060,15146,fajb,2021-11-09 13:18:59,fajb,"@palmskog I have no knowledge of dune. If this simplifies things, that's good for me."
964316860,15146,fajb,2021-11-09 16:27:45,coqbot-app,"Hey, I have detected that there were CI failures at commit 392c114 without any failure in the test-suite.\nI checked that the corresponding jobs for the base commit 21e1997 succeeded. You can ask me to try to extract a minimal test case from this so that it can be added to the test-suite.\nIf you tag me saying @coqbot ci minimize all, I will additionally minimize the following target (which I do not suggest minimizing): ci-flocq (because base job at 21e1997 failed)"
964998669,15146,fajb,2021-11-10 10:32:40,JasonGross,"Regarding the Makefile, I think if you stick src/prover.ml: | theories/Prover.vo in CoqMakefile.local, along with any other compilation / patching targets not covered by coq_makefile, that might be enough to let you combine the two coq_makefile invocations into one.  I believe this will have the effect of demanding that theories/Prover.vo be up to date before considering any target that depends on src/prover.ml, which I think should be the behavior you want.  I'm not completely sure, though."
965537356,15146,fajb,2021-11-10 16:49:44,fajb,@Alizter I'am happy now. It compiles... dune can wait. Thanks
965668902,15146,fajb,2021-11-10 19:27:08,Alizter,Excellent will merge tomorrow
892357254,14741,JasonGross,2021-08-04 04:40:06,JasonGross,@coqbot ci minimize ci-fiat_crypto
