"ci","whisker 2.15% (failed)","8.87% (failed)","lower quartile (failed)","delta median (failed)","delta upper quartile (failed)","91.13% (failed)","whisker 97.85% (failed)","mean (failed)","whisker 2.15% (success)","8.87% (success)","lower quartile (success)","delta median (success)","delta upper quartile (success)","91.13% (success)","whisker 97.85% (success)","mean (success)"
"",0.0013667843316377316,0.001699016299408565,0.0017994405873842593,0.00014790077835648134,9.248325520833361e-05,0.002078204157517361,9.004342236111022e-05,0.0018558026284722228,"","","","","","","",""
"reduction-effects","","","","","","","","",0.00013972606561921314,0.002002429784712963,0.002064606096643519,5.490080729166633e-05,4.798625289351849e-05,0.0022147887882141204,0.00014103036917824082,0.0021333666436603753
"","","","","","","","","","","","","","","","",""
"",0.0013772863450925924,0.0016939678222314817,0.0017995231944444442,0.00018452075231481535,9.139666666666685e-05,0.0021878362046666667,0.0005889339417129609,0.0019354121211013647,"","","","","","","",""
"coqtail","","","","","","","","",0.00013858330202546308,0.0020532667382986117,0.002112388640046296,5.022823495370388e-05,4.772262731481472e-05,0.002266465268550926,0.0001642553025810187,0.002175402342905927
"","","","","","","","","","","","","","","","",""
"",0.0002822066644849535,0.0017608221962488425,0.0019631555931712962,7.147816261574057e-05,0.00013321026620370354,0.002224884849582176,0.00012182796247685226,0.002107746488683128,"","","","","","","",""
"coq-dpdgraph","","","","","","","","",0.00015753096776620432,0.0020831143064467595,0.002142658090277778,5.3490057870370176e-05,4.588159722222242e-05,0.0022960165606365737,0.000155729638541666,0.0022202127673479717
"","","","","","","","","","","","","","","","",""
"",0.0003645943486226852,0.0017917363984050923,0.001999043287037037,0.0001037820949074072,6.577648726851853e-05,0.0022324827150601856,0.00017500127896990722,0.00204187884930361,"","","","","","","",""
"vscoq","","","","","","","","",0.0001397989806481482,0.0021394009071666665,0.002199984166666667,5.0671562499999667e-05,5.057101851851844e-05,0.0023566962176111107,0.00016959396083333477,0.0022764751824390886
"","","","","","","","","","","","","","","","",""
"",0.0002462917787268519,0.001703443987361111,0.0017805528356481483,0.00024456628472222224,9.219881944444452e-05,0.0021878721666990742,0.00011820241608796224,0.0019443693801440326,"","","","","","","",""
"aac-tactics","","","","","","","","",0.00013957077564814803,0.0021491737728333332,0.0022085994791666663,5.614372685185196e-05,5.31018055555557e-05,0.0023734145267962966,0.0001602013047685186,0.002283512171328804
"","","","","","","","","","","","","","","","",""
"",0.0017441373074074075,0.0017132369933333333,0.001992878460648148,9.42436342592592e-05,0.00014719041666666662,0.0023212336532407404,0.00014828347546296276,0.0020717999834247835,"","","","","","","",""
"paramcoq","","","","","","","","",0.00015617193351851822,0.002175070779851852,0.002238543587962963,5.7107905092592705e-05,4.953996527777777e-05,0.0024071243951296296,0.00017296335101851844,0.0023166042216065164
"","","","","","","","","","","","","","","","",""
"",7.51528388599535e-05,0.0016648640561400462,0.0017141109722222222,2.7691151620370382e-05,2.5784690393518446e-05,0.002247523688983798,0.005704174474525455,0.0023702134365354934,"","","","","","","",""
"bigenough","","","","","","","","",0.00015909450493055595,0.002186572104958333,0.00225295328125,6.218888310185198e-05,5.8757447916666424e-05,0.0024302457653981482,0.00018193943021990776,0.0023205119092525503
"","","","","","","","","","","","","","","","",""
"",0.0014977366125462962,0.0016531029795023148,0.0017564775520833333,0.00024677196180555557,0.00020427737268518533,0.0023358855379953703,0.003268694315300927,0.0020749118491602075,"","","","","","","",""
"autosubst","","","","","","","","",0.00017579058478009273,0.0022157612408796297,0.002279550208333333,6.623436342592659e-05,5.65964901620363e-05,0.0024528823620254625,0.00016998664137731411,0.0023578645453864277
"","","","","","","","","","","","","","","","",""
"",0.0013732441808449074,0.0016964179284722223,0.0017498425752314815,0.0003303479571759261,0.00018865130208333336,0.002388779885127315,0.0020879340457175856,0.0020781385684458965,"","","","","","","",""
"stdlib2","","","","","","","","",0.00017695278062500016,0.0022259553175983794,0.0022931123842592598,6.349324652777776e-05,5.252608217592514e-05,0.002464639220587963,0.0001494222633622688,0.0023604257164434516
"","","","","","","","","","","","","","","","",""
"",0.00026703717274305567,0.001734144951215278,0.0018725734664351852,0.00014139455439814825,0.00013390399884259272,0.002246526808969907,0.00028527150839120254,0.0020068665559186635,"","","","","","","",""
"bbv","","","","","","","","",0.00015977488454282408,0.002282991057107639,0.0023484767505787037,5.099579571759237e-05,4.69825983796298e-05,0.002517119073009259,0.00020604804046874935,0.0024262516091718093
"","","","","","","","","","","","","","","","",""
"",0.0016887413175231485,0.0034063529016655093,0.0034953229861111115,0.00010715912037036982,0.00011701132523148213,0.0038225066899375,0.00021220431854745243,0.003528139300285217,"","","","","","","",""
"gappa","","","","","","","","",0.00019632301162037045,0.003645662033481481,0.003714185219907407,7.77218171296298e-05,8.704615740740733e-05,0.003998926637810185,0.00033430161974537,0.0038225166950819527
"","","","","","","","","","","","","","","","",""
"",0.00037991431684027783,0.0017482412871215277,0.0019767207349537038,0.00015335648726851883,0.0015696588657407406,0.00385947343518287,0.0002840784567071752,0.0026934531041666668,"","","","","","","",""
"itauto","","","","","","","","",0.00016923231273148183,0.0036121926558101854,0.003698787476851852,9.579717592592563e-05,8.6188449074074e-05,0.004109791901273148,0.00045551924780092576,0.003843133231210396
"","","","","","","","","","","","","","","","",""
"",0.0009457549745601852,0.0017524515875682871,0.002197878359375,0.0002488913686342592,0.004313021747685185,0.013279061341011582,0.11826743960237268,0.0105979501002785,"","","","","","","",""
"rewriter","","","","","","","","",0.0006192529111111109,0.009464529908648149,0.00981076810185185,0.0003750523263888906,0.0003253829861111085,0.01095618651772222,0.0012451579938888794,0.01027077944501353
"","","","","","","","","","","","","","","","",""
"",0.002472398102748843,0.002446779922758102,0.004238694725115741,0.0016298227864583329,0.008250461270254628,0.014864291294399305,0.0011314958617071758,0.0076393913562885826,"","","","","","","",""
"color","","","","","","","","",0.004111239496614584,0.01309583081736111,0.013558330969328703,0.00043326264178241043,0.0006000948466435164,0.015300072909143519,0.0020674733149074077,0.014017493512199932
"","","","","","","","","","","","","","","","",""
"",0.00045166361134259215,0.0017479446688055556,0.002134393680555555,0.00017725861111111138,0.0013809634490740742,0.0062925391528703715,0.01255285694384258,0.0035812874538337486,"","","","","","","",""
"verdi-raft","","","","","","","","",0.0007855213089872706,0.01783785795457639,0.018187812187500003,0.0003568922743055515,0.0004322902835648193,0.019944003486244213,0.0025673334511458097,0.018713573837785543
"","","","","","","","","","","","","","","","",""
