"ci","whisker 2.15% (failed)","8.87% (failed)","lower quartile (failed)","delta median (failed)","delta upper quartile (failed)","91.13% (failed)","whisker 97.85% (failed)","mean (failed)","whisker 2.15% (success)","8.87% (success)","lower quartile (success)","delta median (success)","delta upper quartile (success)","91.13% (success)","whisker 97.85% (success)","mean (success)"
"",0.0015238678034085649,0.00019843065646759262,0.0016757707436342592,0.0002606246846064814,0.0001405691001157409,0.0021782868749120375,0.0023308850780670836,0.0030493462250982045,"","","","","","","",""
"reduction-effects","","","","","","","","",0.00090446637041088,0.0019953926422916664,0.002079799725115741,6.05781799768515e-05,6.68494618055555e-05,0.002303514475193287,0.00035526150340277297,0.0021408153287429295
"","","","","","","","","","","","","","","","",""
"",0.0014025470103935184,0.0001344708383935185,0.0014944130902777776,0.00032720361111111124,0.00016473990740740693,0.002305615169939814,0.001137627968495368,0.0016665224363238648,"","","","","","","",""
"ltac2","","","","","","","","",0.000929612965185185,0.0017698013739120368,0.0019346821064814815,0.00010679549768518519,0.00014904603009259281,0.0028230474773796293,0.0013999418415509188,0.0021585004223818333
"","","","","","","","","","","","","","","","",""
"",0.001555470903888889,0.0002403812549444444,0.0016944085300925928,0.00030707126157407394,0.000138639074074074,0.002333079910731481,0.12288553598768519,0.0128486992979284,"","","","","","","",""
"coqtail","","","","","","","","",0.0008704642080555553,0.0020130465770925926,0.0021016184374999997,5.701734953703769e-05,5.935136574074023e-05,0.002306637722759259,0.0007467985107407361,0.002178025531046034
"","","","","","","","","","","","","","","","",""
"",0.0012079577231944444,0.00015545586077314816,0.0013111037210648147,0.0005944762789351851,0.0002609629513888889,0.0022893879395671293,0.001216792263078702,0.0017558845845501347,"","","","","","","",""
"coq-dpdgraph","","","","","","","","",0.0010562060694155088,0.0018921556501041666,0.0020903280295138885,0.00010489977141203742,8.415540219907421e-05,0.0024441435743402778,0.0010196768445312515,0.0022004797494922426
"","","","","","","","","","","","","","","","",""
"",0.001538590943935185,0.0017393999739629628,0.0019847836805555554,0.00011885417824074058,6.153026620370379e-05,0.002227006889972222,0.00019453579694444492,0.002021296347535035,"","","","","","","",""
"vscoq","","","","","","","","",0.00014439409071759267,0.0021412452357824074,0.002204629340277778,4.5024432870370036e-05,4.8999791666666775e-05,0.0023561770999537034,0.0001821461596064819,0.0022713703760714895
"","","","","","","","","","","","","","","","",""
"",0.00045414606641203706,0.0001556225661527778,0.0005558998321759259,0.0011850664525462965,0.0003448573553240736,0.002219387687300926,0.0007054876905555557,0.001591440448133149,"","","","","","","",""
"aac-tactics","","","","","","","","",0.0009711331849652778,0.0019423916406666668,0.0021416798958333334,0.0001088871064814814,8.383414351851833e-05,0.0025056951078310185,0.0011243608919791577,0.0022796236602741072
"","","","","","","","","","","","","","","","",""
"",7.51528388599535e-05,0.0016648640561400462,0.0017141109722222222,2.7691151620370382e-05,2.5784690393518446e-05,0.002247523688983798,0.005704174474525455,0.0023702134365354934,"","","","","","","",""
"bigenough","","","","","","","","",0.00015909450493055595,0.002186572104958333,0.00225295328125,6.218888310185198e-05,5.8757447916666424e-05,0.0024302457653981482,0.00018193943021990776,0.0023205119092525503
"","","","","","","","","","","","","","","","",""
"",0.001350522710763889,0.0001683315789907407,0.0014531427777777779,0.0004686230787037033,0.0003278862500000004,0.0024035306135324072,0.0010637722999999985,0.0020135478938450584,"","","","","","","",""
"coqhammer","","","","","","","","",0.0010676232449537036,0.0019372465937314816,0.002182086145833333,0.0002014209259259261,0.0001546879166666672,0.0026657377243888888,0.0008239261121759187,0.002355550426308214
"","","","","","","","","","","","","","","","",""
"",0.0011560000454976854,0.0016710642092083335,0.0017564775520833333,0.0002468832349537039,0.00023647990162037032,0.0023737524248842595,0.0024419261509490537,0.0020760663070856877,"","","","","","","",""
"autosubst","","","","","","","","",0.00017433920350694472,0.0022368650584907407,0.0022998085561342593,5.112647280092588e-05,5.089183449074079e-05,0.0024585430585902777,0.00017704150368055534,0.002373738285138583
"","","","","","","","","","","","","","","","",""
"",0.0001324825277604167,0.00014798501628125003,0.0002306331684027778,0.0012938402633101852,0.0005665465306712964,0.002330482963528935,0.0017876256604224478,0.0016004557766108039,"","","","","","","",""
"stdlib2","","","","","","","","",0.0009493713955844906,0.0020235168171770833,0.0022355426533564814,0.00010916326678240716,9.052030092592629e-05,0.002900581499421296,0.0024005721766666662,0.0024601114853539194
"","","","","","","","","","","","","","","","",""
"",0.0007441830133622686,0.00023250023101388886,0.0008987292274305556,0.001079440164930555,0.00022829267361111107,0.002373767350666667,0.0008609523726388893,0.0019703366719232246,"","","","","","","",""
"bbv","","","","","","","","",0.0009266410138888889,0.002258618148462963,0.0023724763657407407,7.57242129629629e-05,0.00010627975694444455,0.00270197208524074,0.0009801693965740747,0.00249193982262334
"","","","","","","","","","","","","","","","",""
"",0.0014367292091145832,0.0003592864541284722,0.0016803835156249999,9.032811053240721e-05,0.0005690106481481484,0.0026206410119074077,0.0046791058521817065,0.002130980315072016,"","","","","","","",""
"finmap","","","","","","","","",0.0001849490235532403,0.002441143534548611,0.0025189277141203703,9.196210069444466e-05,7.853325231481486e-05,0.00276073134099537,0.00021810744253472278,0.0026183526467521523
"","","","","","","","","","","","","","","","",""
"",0.00029711704972222195,0.0016735106831851853,0.001963943622685185,9.227718749999989e-05,0.006241568773148147,0.12642428655366664,0.11813779896499998,0.03028887237911522,"","","","","","","",""
"lean-importer","","","","","","","","",0.00012940017704861145,0.002543613817453704,0.002618261177662037,4.716650173611139e-05,5.098214699074009e-05,0.0027922953698124994,0.00015948072580439796,0.002670018238450039
"","","","","","","","","","","","","","","","",""
"",0.0013412966527314816,0.00016262120575462964,0.0014514723466435187,0.00046959889178240714,0.00022739533854166673,0.0024853969045856477,0.005808098213674767,0.0020212246664122156,"","","","","","","",""
"paramcoq","","","","","","","","",0.0010392416444444442,0.0020103080507407407,0.002228146099537037,0.00011391758101851873,0.0001753203703703703,0.004434546913148148,0.005884099190277773,0.002748053071176475
"","","","","","","","","","","","","","","","",""
"",0.0014726706670370369,0.0013640765041944445,0.0018765800752314813,0.0005359425520833337,0.00012898756365740732,0.002582934088641204,4.679190366898211e-05,0.0020645843865740744,"","","","","","","",""
"mathcomp-word","","","","","","","","",0.0001976219436574068,0.0026122915133703706,0.0026846250868055553,7.496846064814801e-05,8.70827633101855e-05,0.0029391236933194445,0.0002088382207175929,0.002775072718068377
"","","","","","","","","","","","","","","","",""
"",0.0007116060067708335,0.00167499855190625,0.0017830120399305557,0.00021305051793981474,6.443622106481464e-05,0.0028089684675902784,0.0008253138547106484,0.001991931533203125,"","","","","","","",""
"paco","","","","","","","","",0.00014703407370949108,0.0027029471548437496,0.002768698984375,6.062857349537019e-05,6.305057870370414e-05,0.0029850879628541666,0.00023647891329282378,0.0028492742059053637
"","","","","","","","","","","","","","","","",""
"",0.00019657963216435185,0.00015568847597916666,0.0002846128298611111,0.0013748403414351852,0.0005364249826388891,0.002742019407844907,0.0011305721856018427,0.0020828696980150084,"","","","","","","",""
"argosy","","","","","","","","",0.0009313500741898149,0.002511815238981482,0.0027226859837962965,0.00011671633101851837,0.0001444053009259259,0.003252570444814814,0.0012824619412037034,0.0028950861533305586
"","","","","","","","","","","","","","","","",""
"",0.0015420644372106484,0.00022276012669560183,0.0017247373350694447,0.0004938072482638886,0.000572929890046296,0.002914530724241898,0.00035782614664351883,0.0020464888947295096,"","","","","","","",""
"menhir","","","","","","","","",0.0009118532141261574,0.0027371137663020828,0.0028563548408564814,7.465969618055584e-05,9.506908854166633e-05,0.00317201239002662,0.0007978980910300867,0.0029580426670966827
"","","","","","","","","","","","","","","","",""
"",0.00047973409798611103,9.182020287268519e-05,0.0005005760127314814,0.0013291832465277776,0.0009531602083333336,0.0037875193082037035,0.0012210606879050922,0.002206242937091505,"","","","","","","",""
"plugin-tutorial","","","","","","","","",0.001656143830104167,0.0014290823468124999,0.0027162338020833335,0.0002922632349537037,0.000817623165509259,0.004019600359453704,0.0004424320793634251,0.0030382852267217863
"","","","","","","","","","","","","","","","",""
"",0.0012387694487962962,0.00021372696814814815,0.0013813153703703702,0.0006319018518518521,0.0003225332523148147,0.0031472733879444443,0.1234009657499074,0.009854431632574935,"","","","","","","",""
"tlc","","","","","","","","",0.0006903762146006952,0.002894458832130787,0.003030210405092593,9.87744386574071e-05,0.00014411921875000016,0.0034372960039791662,0.0006876491639814819,0.0031655654707053067
"","","","","","","","","","","","","","","","",""
"",0.0015395670770138887,0.0002065529674537037,0.0016432575115740739,0.00010139613425925965,0.00027783562500000025,0.0028549470533587966,0.013087825493368118,0.0031836185766580525,"","","","","","","",""
"mczify","","","","","","","","",0.00024055245243634294,0.0029915928124814813,0.0030859382609953706,9.199763020833378e-05,0.00012823240162037003,0.0034462419536018516,0.00038492116944444446,0.00323134481716253
"","","","","","","","","","","","","","","","",""
"",0.0015802360191435184,0.0002317684883599537,0.0016868324855324073,0.00019077955729166667,0.0008622376678240739,0.0030346390210347213,0.0028522234706018527,0.0021229789292373973,"","","","","","","",""
"deriving","","","","","","","","",0.00023774836711805544,0.0030536132189895836,0.0031412898582175923,7.441319733796298e-05,7.812589409722254e-05,0.003412514368861111,0.0004266557598784724,0.0032509148932195015
"","","","","","","","","","","","","","","","",""
"",0.0016571670436689814,0.0003204265464652778,0.0017730663773148146,0.0003893011921296298,0.00017988674768518523,0.0028455431554837963,0.0011675015186458373,0.0023011905943559163,"","","","","","","",""
"mtac2","","","","","","","","",0.001332381172372685,0.002858938874037037,0.0031867901331018517,0.0002195441956018519,0.0001459511284722225,0.003761659369620371,0.0008035950325694435,0.0033640601617873096
"","","","","","","","","","","","","","","","",""
"",0.00024042908031828705,0.0001428803114664352,0.0003327755729166667,0.0013908516145833332,0.0005383362181712965,0.002972870404719907,0.0013093193441261562,0.0017843457163160407,"","","","","","","",""
"bignums","","","","","","","","",0.0009962214510532406,0.00288707352190162,0.0032120055381944443,0.00023174633680555536,0.0001385251157407408,0.003810788228909722,0.0011467176970543992,0.0034283468957097556
"","","","","","","","","","","","","","","","",""
"",0.00022831070352430556,0.00015135074766203704,0.00033180650173611113,0.001334731212384259,0.0009891264583333332,0.0036472858436736068,0.001565277518136574,0.0021002581474867756,"","","","","","","",""
"fcsl-pcm","","","","","","","","",0.000873216407986111,0.0028466862329513893,0.0031614758101851854,0.00035507176504629605,0.00023043748842592558,0.003995920135769676,0.0011627982399594929,0.0034962102169844907
"","","","","","","","","","","","","","","","",""
"",0.003267306371383102,0.0020746315183738425,0.003466781351273148,0.00010323246817129598,0.00011101434317129693,0.0038068635747685185,0.00025650355439814755,0.003920775810511215,"","","","","","","",""
"gappa","","","","","","","","",0.0011247838475694446,0.0032285881562962963,0.003661399435763889,0.00010937735821759222,0.00010572647858796266,0.004034645230167824,0.00045124998561921247,0.0037294286604847237
"","","","","","","","","","","","","","","","",""
"",0.0016703994693287039,0.00046483358101851824,0.0018004770428240743,0.00021393576967592537,0.00017040381944444499,0.00301474395167824,0.001593837051649307,0.002022190814381262,"","","","","","","",""
"sf","","","","","","","","",0.0010433745928240742,0.003080736791979166,0.003394349184027778,0.0003178780729166668,0.0003841454484953704,0.004314851243875001,0.0011641270597337952,0.003750969022069075
"","","","","","","","","","","","","","","","",""
"",0.0012493869244791672,0.0019187004688541666,0.0029083722164351855,0.0011221370543981475,0.00012667822337962976,0.0059572385883217595,0.0020435144689236106,0.0037773984118475226,"","","","","","","",""
"itauto","","","","","","","","",0.00018461972674768462,0.0036209438522002316,0.003717370306712963,0.00010589939236111063,0.00022956663194444518,0.0042234128589363415,0.0007846914699478841,0.003928286265615021
"","","","","","","","","","","","","","","","",""
"",0.0009746498275462961,0.00015383811203703704,0.001074646987847222,0.0010265529484953706,0.0009309580844907408,0.0034331230352719917,0.0012478416970486085,0.0030033513625041795,"","","","","","","",""
"coquelicot","","","","","","","","",0.0012815367198553236,0.0033729793206435177,0.0037029088599537033,0.0001806819328703706,0.000237951067708333,0.004476368802454861,0.0012325312441030089,0.003937932658364575
"","","","","","","","","","","","","","","","",""
"",0.0003254216498726853,0.00019846404789583333,0.0005034223900462964,0.0019481387442129633,0.0014182403182870368,0.0046374312922847225,0.0010615556773032392,0.002371496129747332,"","","","","","","",""
"interval","","","","","","","","",0.0008868738167708331,0.002966105441003472,0.0035627983767361113,0.0005274571151620369,0.0006913978443287032,0.005150119460155093,0.00089674030648148,0.004164876994420393
"","","","","","","","","","","","","","","","",""
"",0.0011985643093171301,0.0016446221326724536,0.0021248188165509264,0.00010540477719907368,6.805646412037011e-05,0.0024257706223912035,0.0006768659982060179,0.0021391611906828706,"","","","","","","",""
"flocq3","","","","","","","","",0.00017234766444444456,0.004082617898418982,0.004166139178240741,9.738994212962933e-05,0.00012079322916666666,0.004584522606289353,0.00049504523792824,0.004325432268115501
"","","","","","","","","","","","","","","","",""
"",0.0007189180630034722,0.00014215784203587962,0.0008122161950231481,0.0009817043373842593,0.0003619501388888889,0.0024556520511956016,0.0013982667815219882,0.0020049309741566107,"","","","","","","",""
"relation-algebra","","","","","","","","",0.0007362150554976843,0.0038837579849652784,0.004080102638888888,0.0001907368055555558,0.00017934324652777844,0.004967731462444445,0.001523738335416666,0.004356261448561836
"","","","","","","","","","","","","","","","",""
"",0.0016751865179629626,0.000495820057037037,0.0018138454282407403,0.00028772989583333375,0.00014896059027777768,0.003942449650185182,0.0040564605079629595,0.005742762141720138,"","","","","","","",""
