year,JasonGross,jfehrle,ejgallego,SkySkimmer,Zimmi48,jonleivent,RalfJung,maximedenes,MSoegtropIMC,herbelin,ppedrot,samuelgruetter,andres-erbsen,silene,gares,charguer,andrew-appel,robbertkrebbers,Alizter,tchajed,fblanqui,cpitclaudel,Eelis,anton-trunov,Janno,Casteran,Blaisorblade,Matafou,tomprince,Lionel-Rieg,siegebell,xavierleroy,Ian Lynagh <igloo@earth.li>,fajb,jashug,Roland.Zumkeller@polytechnique.fr,psteckler,ybertot,Tuplanolla,gmalecha,zeldovich,roconnor,greenrd,hendriktews,davidnowak,jwiegley,mattam82,erikmd,Lysxia,amccreight,DanGrayson,letouzey,pirbo,matejkosik,ethan.aubin@gmail.com,rmatthes,mikeshulman,pi8027,eponier,CohenCyril,brianaydemir2,AUGER Cédric <cauger@lri.fr>,olaure01,vzaliva,braibant,mrhaandi,amahboubi,vbgl,Eduardo.Gimenez@trusted-logic.fr,tupelo-schneck,glondu,ckeller,jhjourdan,lionel@mamane.lu,Henk-Jan van Tuyl <hjgtuyl@chello.nl>,Ptival,ana-borges,LasseBlaauwbroek,arthuraa,jnarboux,Armael,akr,jad-hamza,fakusb,Brian Campbell <Brian.Campbell@ed.ac.uk>,Yevgeniy Makarov <emakarov@gmail.com>,roglo,forestjulien,vporton,fpottier,boulme,thery,ggonthier,PierreCorbineau,andersk,spitters,huitseeker,emakarov@lix.polytechnique.fr,whonore,bcpierce00,mlasson,kyoDralliam,proux01,vsiles,milad@cs.kun.nl,bcip,aspiwack,chdoc,treinen,damien-pous,carlos@math.unice.fr,QinshiWang,maggesi,contejea@lri.fr,Mbodin,magaud,SnarkBoojum,clarus,Adam Megacz <megacz@cs.berkeley.edu>,artagnon,gdsfh,jlottes,ghost,bmsherman,larsr,bollu,pilki,damien.doligez@inria.fr,backtracking,eluuk,yakobowski,barras,aa755,jasper@cs.kun.nl,Roger Witte <rogerwite@yahoo.co.uk>,Charlie D <coqletsgo@yahoo.com>,liyishuai,david.pichardie@irisa.fr,ezyang,andreaslyn,Jean-Marc Notin <notin@lix.polytechnique.fr>,jbapple,Andrew Kennedy <akenn@microsoft.com>,tlringer,palmskog,sacerdot@cs.unibo.it,beta-ziliani,rnrand,Chung-Kil Hur <gil.hur@gmail.com>,David M. Cooke <david.m.cooke@gmail.com>,gasche,signoles,jimyu94,kindaro,yforster,orilahav,Columbus240,cmangin,nomeata,didickman,HuStmpHrrr,kevinsullivan,Qinxiang Cao <caoqinxiang@gmail.com>,ruibaptista@live.com,akoprow,Peter LeFanu Lumsdaine <p.l.lumsdaine@gmail.com>,elazarg,Chris Dams <Chris.Spam.nl@gmail.com>,bodeveix@irit.fr,wires,wilcoxjay,Claude.Marche@lri.fr,asr,jaykru,Nuno Gaspar <nuno.gaspar@inria.fr>,wkolowski,andres-erbsen-sifive,Baptiste Jonglez <baptiste@jonglez.org>,zorun,Stéphane Lescuyer <stephane.lescuyer@lri.fr>,llelf,euisuny,Danko Ilik <danko@lix.polytechnique.fr>,lthms,francoisthire,vgbl,pierrecregut,JonasOberhauser,Scott <fidget324@gmail.com>,Mark Dickinson <dickinsm@gmail.com>,langston-barrett,SimonBoulier,dfoxfranke,virgile.prevosto@m4x.org,anoun@labri.fr,STyx <PlaSTyx@free.fr>,Jacek Chrząszcz <chrzaszcz@mimuw.edu.pl>,Georgy Dunaev <georgedunaev@gmail.com>,Paolo Herms <paolo.herms@cea.fr>,t6s,anishathalye,sielenk@gmx.de,Felipe Cerqueira <felipec@mpi-sws.org>,Kiyoshi YAMADA <kiyoshi.coquser@gmail.com>,achlipala,MackieLoeffel,QinxiangCao,Ian Johnson <ianj@ccs.neu.edu>,ewd@dai.ed.ac.uk,Zoltán S. Márk <markzoli@yahoo.com>,devriese@cs.tcd.ie,bluelightning32,Cristóbal Camarero <nakacristo@hotmail.com>,rlepigre,cryslith,seachel,dasuxullebt,paulin@lri.fr,steffahn,Jorge Luis Sacchini <Jorge-Luis.Sacchini@FireEye.com>,jeremydaw,elefthei,xiemaisi@yahoo.de,ianshil,anne-pacalet,jeremie-koenig,Clement.Renard@inria.fr,harke@cs.pdx.edu,erkkil@gmail.com,tebbi,Tanaka Akira <akr@fsij.org>,corwin-of-amber,TheoWinterhalter,David Darais <darais@seas.harvard.edu>,gasparattila,Sidi Ould Biha <Sidi.Ould_Biha@sophia.inria.fr>,(Other)
2001,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,2,,,,,,,7,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,19
2002,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,2,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,13,8,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,3,,,,,,,,4,1,,4,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,20
2003,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,2,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,3,,,2,,3,,,,,,,,,4,,,,,,3,,3,,,2,,,,,,,,,,,,1,,,,,,2,,,,2,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
2004,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,1,,,,2,,1,,27,,2,,,,,,,,,,,,,,3,,,,2,,,,,5,,,,,,,,,3,,,,2,,,,,,1,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,,4,,6,,2,3,,,,,,,,,,,,,,4,1,,7,1,,1,,,,3,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
2005,,,,,,,,,,2,,,,1,,,,,,,,,,,,9,,1,,,,2,,1,,3,,2,,,,11,,,,,,,,3,,3,,,,1,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
2006,,,,,,,,,,3,,,,1,,1,3,,,,,,2,,,6,,1,,,,6,,3,,3,,2,,,,10,,,1,,,,,4,,4,,,4,5,,,,,6,,,,,,5,,,,,,,4,,,,,,1,,,,,,,,2,,,,1,8,,,,,,,,,,,,2,,,,,,,,2,3,,1,,,,,,,,,,,,1,1,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,28
2007,,,,,,,,,,1,,,,,,1,5,,,,1,,1,,,4,,,,,,3,,5,,11,,6,,,,7,9,,2,,,,,6,1,4,,,16,1,,,,,7,,,,,,,,,,,,,7,,,,,,,,,,,,13,,,,1,2,1,,3,,,2,13,,2,,,,1,2,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,2,,1,,,3,,,,,,,,1,43
2008,,,,,,,,,,,,,,18,1,2,8,,,,2,,3,,,13,,1,,,,7,,6,,,,3,,,,4,13,,7,,,,,19,,5,,,7,6,,,,,7,6,,,,,7,,,,11,1,,1,,,,,,6,,,,,11,,,2,,,,,2,5,,,2,,,,6,,,1,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,1,,,3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,2,,,1,,,,,,,,,43
2009,,,,,,,,,,1,,,,5,1,10,4,,,,3,,25,,,1,,,,,,3,15,8,,,,,,1,,2,2,,8,,1,,,1,,,,,1,5,,,,,2,1,,,2,,1,,,,1,6,,,,,,,,3,,,,,4,,,2,,,,,1,1,,,1,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,6,,,3,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,37
2010,,,,,,,,,,3,5,,,2,,13,5,5,,,4,,43,,,2,,2,7,,,2,18,4,,,,2,,,,,6,1,,,1,6,,,,,8,,1,2,,,,,,6,,,6,,3,,,,7,1,,,,,,,,3,,,,,,2,,2,,2,1,1,,,,1,7,,,,5,,,3,,,,,,3,,,,1,,,,,5,,,,,,,,6,1,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,,,,1,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,27
